state,lat,lon,population
New York,43.299428,-74.217933,19453561
New Jersey,40.058324,-74.405661,8882190
Michigan,44.314844,-85.602364,9986857
California,36.778261,-119.417932,39512223
Florida,27.664827,-81.515754,21477737
Massachusetts,42.407211,-71.382437,6892503
Illinois,40.633125,-89.398528,12671821
Washington,47.751074,-120.740139,7614893
Louisiana,31.244823,-92.145024,4648794
Pennsylvania,41.203322,-77.194525,12801989
Georgia,32.157435,-82.907123,10617423
Texas,31.968599,-99.901813,28995881
Connecticut,41.603221,-73.087749,3565287
Colorado,39.550051,-105.782067,5758736
Tennessee,35.517491,-86.580447,6829174
Ohio,40.417287,-82.907123,11689100
Indiana,40.551217,-85.602364,6732219
Maryland,39.045755,-76.641271,6045680
North Carolina,35.759573,-79.0193,10488084
Wisconsin,43.78444,-88.787868,5822434
Missouri,37.964253,-91.831833,6137428
Arizona,34.048928,-111.093731,7278717
Virginia,37.431573,-78.656894,8535519
Nevada,38.80261,-116.419389,3080156
South Carolina,33.836081,-81.163725,5148714
Alabama,32.318231,-86.902298,4903185
Mississippi,32.354668,-89.398528,2976149
Utah,39.32098,-111.093731,3205958
Oregon,43.804133,-120.554201,4217737
Minnesota,46.729553,-94.6859,5639632
Kentucky,37.839333,-84.270018,4467673
Oklahoma,35.007752,-97.092877,3956971
Arkansas,35.20105,-91.831833,3017804
Iowa,41.878003,-93.097702,3155070
District Of Columbia,38.905985,-77.033418,705749
Rhode Island,41.580095,-71.477429,1059361
Idaho,44.068202,-114.742041,1787065
Kansas,39.011902,-98.484246,2913314
Delaware,38.910832,-75.52767,973764
New Mexico,34.97273,-105.032363,2096829
New Hampshire,43.193852,-71.572395,1359711
Maine,45.253783,-69.445469,1344212
Vermont,44.558803,-72.577841,623989
Hawaii,19.898682,-155.665857,1415872
Montana,46.879682,-110.362566,1068778
Nebraska,41.492537,-99.901813,1934408
West Virginia,38.597626,-80.454903,1792147
North Dakota,47.551493,-101.002012,762062
Alaska,63.588753,-154.493062,731545
Wyoming,43.075968,-107.290284,578759
South Dakota,43.969515,-99.901813,884659
Guam,13.444304,144.793732,164229
Northern Mariana Islands,15.183333,145.75,55144
Puerto Rico,18.220833,-66.590149,3193694
United States Virgin Islands,34.297878,-83.824066,107268
Wuhan Repatriated,36.56311586,103.7358068,100000
Diamond Princess Cruise,37.804363,-122.271111,3711
